id	name	doc	is_pii	langs	contexts	translations.ru.name	translations.ru.doc	links.url	links.type
rumosadmareas	Moscow administrative areas (Russia)	Moscow city (Russia) administrative areas	False	ru	common	Районы города Москвы	Справочник районов города Москвы		
rumosdistricts	Moscow districts (Russia)	Moscow city (Russia) districts	False	ru	common	Округа города Москвы	Округа города Москвы		
runpa	Russian regulatory legal act	Russian regulatory legal act. For example: Executive order	False	ru	government	Нормативно-правовой документ	Нормативно-правовой документ в России. Например, постановление правительства		
runpakind	Russian regulatory legal act type	Type of the Russian legal document: order, executive order and so on	False	ru	government	Тип нормативного документа	Тип нормативного документа, например: указ, постановление, приказ		
ruscity	City name (Russian)	City name in Russian language	True	ru	common,pii	Название города (на русском)	Наименование города/городского поселения на русском языке. Например, Череповец		
ruscountrycode	Country code (Russian)	Country codes and abbreviations used in Russia	False	ru	common	Код страны (на русском)	Код страны использующий коды и аббревиатуры принятые в России		
ruscountryname	Country name (Russian)	Name of the country written in Russian language.	False	ru	geo	Названи страны (на русском)	Название страны на русском языке. Например, Колумбия		
rusdayofweek	Day of week (in Russian)	Day of week written in Russian language	False	ru	datetime	День недели (на русском)	День недели написанный на русском языке. Например, вторник		
rusdegree	Academic degree (Russian)	Academic degree title in Russian. 	False	ru	persons	Научная степень (на русском)	Научная степень персоны на русском языке. Например, кандидат технических наук	https://en.wikipedia.org/wiki/Academic_degree	wikipedia
rusfeddistrict	Russian federal district name	Name of the federal district of Russia. Full or short.	False	ru	common	Наименование федерального округа России	Наименование федерального округа России полное или сокращённое		
rusnils	Individual insurance account number (SNILS)	Russian social insurance identifier. Issued for every insured person by Pension fund of Russia	True	ru	pii	Код СНИЛС	Страховой номер индивидуального лицевого счёта физического лица (СНИЛС)		
rusregion	Russian region (federal subject) name	Name of the region (federal subject) in Russia as it is in country Constitution	False	ru	common	Наименование субъекта Российской Федерации	Наименование субъекта Российской Федерации по Конституции страны		
rusregioncode	Russian region unique code	Russin unique code of country subdivision (regions/federal subjects)	False	ru	common	Код субъекта Российской Федерации	Код субъекта Российской Федерации по нумерации в Конституции страны		
rustimerange	Time range (Russian)	Time range written in Russian	False	ru	datetime	Временной промежуток (на русском)	Временной промежуток на русском языке. Например, с 9:00 до 14:00		
rustreet	Street name (Russian)	Street name writtern in Russian language	True	ru	common,pii	Улица (на русском)	Улица (на русском языке). Обычно является составной частью адреса		
rusworkposition	Work position / Job title (Russian)	Work positions / job title common in Russia and writtern in Russian language.	False	ru	persons	Должность	Должность персоны на русском языке.		
sha1hash	SHA-1 hash	SHA-1 hash from file or data. Sometimes used as unique id of the data record	False	common	crypto			https://en.wikipedia.org/wiki/SHA-1	wikipedia
sha256hash	SHA256 hash	SHA256 hash from file or data. Sometimes used as unique id of the data record	False	common	crypto			https://en.wikipedia.org/wiki/SHA-2	wikipedia
street	Street	Name of the street, commonly used in address	True	common,ru	geo,pii,common				
